title	year	Director1	Genre1	Genre2	Genre3	stars
Dr. Terror's House of Horrors (1965)	1965	Freddie Francis	Horror	Fantasy	None	7
The Babe (1992)	1992	Arthur Hiller	Sport	Drama	Biography	6
River Queen (2005)	2005	Vincent Ward	Drama	Adventure	Action	6
The Hard Way (1991)	1991	John Badham	Crime	Comedy	Action	6
Mr. & Mrs. Smith (1941)	1941	Alfred Hitchcock	Romance	Comedy	None	6
Tarzan & Jane (2002)	2002	Steve Loter	Family	Animation	None	5
Birdemic: Shock and Terror (2010)	2010	James Nguyen	Thriller	Romance	Horror	2
Defiance (2008/I)	2008	Edward Zwick	History	Drama	Action	7
Tromeo and Juliet (1996)	1996	Lloyd Kaufman	Drama	Comedy	Action	6
Maya (1993)	1993	Ketan Mehta	Romance	Mystery	Drama	6
Caveman (1981)	1981	Carl Gottlieb	Sci-Fi	Comedy	None	6
Seems Like Old Times (1980)	1980	Jay Sandrich	Romance	Comedy	None	7
Irina Palm (2007)	2007	Sam Garbarski	Drama	None	None	7
Sleeping with Other People (2015)	2015	Leslye Headland	Romance	Drama	Comedy	6
Terminal Invasion (2002) (TV)	2002	Sean S. Cunningham	Sci-Fi	Mystery	Action	5
Night at the Museum: Battle of the Smithsonian (2009)	2009	Shawn Levy	Family	Comedy	Adventure	6
Step Up All In (2014)	2014	Trish Sie	Romance	Music	Drama	6
That Uncertain Feeling (1941)	1941	Ernst Lubitsch	Comedy	None	None	7
Nightmares in Red, White and Blue: The Evolution of the American Horror Film (2009)	2009	Andrew Monument	Horror	Documentary	None	7
Dave Chappelle: Killin' Them Softly (2000) (TV)	2000	Stan Lathan	Comedy	Documentary	None	9
Baggage Claim (2013)	2013	David E. Talbert	Comedy	None	None	5
Shark Attack 2 (2000) (V)	2000	David Worth	Thriller	Horror	None	3
Scooby-Doo and the Ghoul School (1988) (TV)	1988	Charles A. Nichols	Fantasy	Comedy	Animation	7
How to Succeed in Business Without Really Trying (1967)	1967	David Swift	Musical	Comedy	None	7
Mujhse Shaadi Karogi (2004)	2004	David Dhawan	Romance	Comedy	None	7
A Haunting at Silver Falls (2013)	2013	Brett Donowho	Thriller	Horror	None	5
Gold Diggers of 1933 (1933)	1933	Mervyn LeRoy	Musical	Drama	Comedy	8
Trash (1970)	1970	Paul Morrissey	Drama	None	None	6
A Late Quartet (2012)	2012	Yaron Zilberman	Music	Drama	None	7
Talk Radio (1988)	1988	Oliver Stone	Drama	None	None	7
Roger Corman's Frankenstein Unbound (1990)	1990	Roger Corman	Sci-Fi	Horror	Drama	5
Thunderbolt and Lightfoot (1974)	1974	Michael Cimino	Drama	Crime	Comedy	7
Heaven Can Wait (1978)	1978	Warren Beatty	Romance	Fantasy	Comedy	7
Contact (1997)	1997	Robert Zemeckis	Sci-Fi	Mystery	Drama	7
Les bonnes femmes (1960)	1960	Claude Chabrol	Romance	Mystery	Drama	8
Crossworlds (1996) (V)	1996	Krishna Rao	Comedy	Sci-Fi	Action	5
Vysotskiy. Spasibo, chto zhivoy (2011)	2011	Pyotr Buslov	Drama	Biography	None	7
The Masque of the Red Death (1964)	1964	Roger Corman	Horror	None	None	7
Never Cry Wolf (1983)	1983	Carroll Ballard	Drama	Adventure	None	8
Just One of the Guys (1985)	1985	Lisa Gottlieb	Romance	Comedy	None	6
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)	1991	Michael Pressman	Comedy	Adventure	Action	6
Udta Punjab (2016)	2016	Abhishek Chaubey	Thriller	Drama	Crime	8
Glee: The 3D Concert Movie (2011)	2011	Kevin Tancharoen	Music	Documentary	None	5
The Adjuster (1991)	1991	Atom Egoyan	Drama	Comedy	None	7
Experiment in Terror (1962)	1962	Blake Edwards	Thriller	Mystery	Crime	7
Earth to Echo (2014)	2014	Dave Green	Sci-Fi	Family	Adventure	6
Twin Sitters (1994)	1994	John Paragon	Thriller	Comedy	None	6
Frat Party (2009)	2009	Robert Bennett	Comedy	None	None	3
Night Passage (1957)	1957	James Neilson	Western	None	None	7
Revenge of the Ninja (1983)	1983	Sam Firstenberg	Drama	Crime	Action	6
Marigold (2007)	2007	Willard Carroll	Comedy	None	None	5
Coma (1978)	1978	Michael Crichton	Mystery	Horror	Drama	7
Religulous (2008)	2008	Larry Charles	War	Comedy	Documentary	8
My First Mister (2001)	2001	Christine Lahti	Romance	Drama	Comedy	7
Who's Harry Crumb? (1989)	1989	Paul Flaherty	Mystery	Crime	Comedy	6
Million Dollar Arm (2014)	2014	Craig Gillespie	Sport	Drama	Biography	7
The Skeleton Key (2005)	2005	Iain Softley	Thriller	Mystery	Horror	6
Torture Garden (1967)	1967	Freddie Francis	Horror	Fantasy	None	6
The Astronaut Farmer (2006)	2006	Michael Polish	Sci-Fi	Drama	Adventure	6
La chienne (1931)	1931	Jean Renoir	Drama	None	None	8
Indochine (1992)	1992	Régis Wargnier	Romance	Drama	None	7
What the Bleep!?: Down the Rabbit Hole (2006)	2006	William Arntz	Drama	Documentary	None	6
Dear John (2010/I)	2010	Lasse Hallström	War	Romance	Drama	6
New Best Friend (2002)	2002	Zoe Clarke-Williams	Thriller	Mystery	Drama	5
The Horror Show (1989)	1989	James Isaac	Horror	None	None	5
Frankenstein and the Monster from Hell (1974)	1974	Terence Fisher	Horror	None	None	6
Repo! The Genetic Opera (2008)	2008	Darren Lynn Bousman	Sci-Fi	Musical	Horror	7
Armageddon (1998)	1998	Michael Bay	Sci-Fi	Adventure	Action	7
X-Men Origins: Wolverine (2009) (VG)	2009	Gavin Hood	Sci-Fi	Adventure	Action	8
Orgy of the Dead (1965)	1965	Stephen C. Apostolof	Horror	Fantasy	None	3
The Man Who Loved Women (1983)	1983	Blake Edwards	Romance	Drama	Comedy	5
Meet the Browns (2008)	2008	Tyler Perry	Romance	Drama	Comedy	4
The Smurfs 2 (2013)	2013	Raja Gosnell	Comedy	Adventure	Animation	5
CQ (2001)	2001	Roman Coppola	Sci-Fi	Comedy	Drama	6
Lolita (1962)	1962	Stanley Kubrick	Romance	Drama	Crime	8
Batman: Mask of the Phantasm (1993)	1993	Eric Radomski	Adventure	Action	Animation	8
Idlewild (2006)	2006	Bryan Barber	Musical	Drama	Crime	6
Splendor in the Grass (1961)	1961	Elia Kazan	Romance	Drama	None	8
Game (2011/I)	2011	Abhinay Deo	Drama	Crime	Action	5
Chimes at Midnight (1965)	1965	Orson Welles	History	Drama	Comedy	8
Extraordinary Measures (2010)	2010	Tom Vaughan	Drama	None	None	6
Dying Young (1991)	1991	Joel Schumacher	Romance	Drama	None	6
Somewhere (2010)	2010	Sofia Coppola	Drama	Comedy	None	6
Beastie Boys: Sabotage (1994) (V)	1994	Spike Jonze	Music	Short	None	8
Subspecies (1991)	1991	Ted Nicolaou	Horror	Fantasy	None	6
Sgt. Bilko (1996)	1996	Jonathan Lynn	Comedy	None	None	6
Go (2001)	2001	Isao Yukisada	Drama	None	None	8
Bernie (1996)	1996	Albert Dupontel	Comedy	None	None	7
La promesse (1996)	1996	Jean-Pierre Dardenne	Drama	None	None	8
Union Pacific (1939)	1939	Cecil B. DeMille	Western	Drama	None	7
The Crocodile Hunter: Collision Course (2002)	2002	John Stainton	Comedy	Adventure	Action	5
The Philadelphia Experiment (1984)	1984	Stewart Raffill	Romance	Drama	Adventure	6
Max Manus (2008)	2008	Joachim Rønning	Drama	Biography	Action	7
The Woman in Black (2012)	2012	James Watkins	Horror	Fantasy	Drama	6
Volunteers (1985)	1985	Nicholas Meyer	Comedy	None	None	5
Otis (2008)	2008	Tony Krantz	Horror	Crime	Comedy	6
Klimt (2006)	2006	Raoul Ruiz	Drama	Biography	None	5
Shaandaar (2015)	2015	Vikas Bahl	Romance	Drama	Comedy	4
Paragraf 78 (2007)	2007	Mikhail Khleborodov	Thriller	Sci-Fi	Action	5
Rangeela (1995)	1995	Ram Gopal Varma	Musical	Drama	Comedy	8
Silent Night (2012/I)	2012	Steven C. Miller	Mystery	Horror	Comedy	5
Man's Favorite Sport? (1964)	1964	Howard Hawks	Romance	Comedy	None	7
Countdown to Zero (2010)	2010	Lucy Walker	Documentary	None	None	7
Pay Day (1922/I)	1922	Charles Chaplin	Short	Comedy	None	8
The Trotsky (2009)	2009	Jacob Tierney	Drama	Comedy	None	7
Project: ALF (1996) (TV)	1996	Dick Lowry	Family	Sci-Fi	Comedy	6
Lenny (1974)	1974	Bob Fosse	Drama	Biography	None	8
Avengers: Age of Ultron (2015)	2015	Joss Whedon	Sci-Fi	Adventure	Action	8
The Quatermass Xperiment (1955)	1955	Val Guest	Sci-Fi	Horror	None	7
Breathless (1983)	1983	Jim McBride	Romance	Drama	Action	6
Quills (2000)	2000	Philip Kaufman	Drama	Biography	None	7
Barely Legal (2011) (V)	2011	Jose Montesinos	Comedy	None	None	3
Star Trek Into Darkness (2013)	2013	J.J. Abrams	Sci-Fi	Adventure	Action	8
Flirt (1995)	1995	Hal Hartley	Romance	Drama	None	6
Black Water (2007)	2007	David Nerlich	Horror	Drama	Action	6
Pump Up the Volume (1990)	1990	Allan Moyle	Music	Drama	Comedy	7
Notorious (1946)	1946	Alfred Hitchcock	Romance	Film-Noir	Drama	8
Good Kill (2014)	2014	Andrew Niccol	Thriller	Drama	None	6
Contamination (1980)	1980	Luigi Cozzi	Sci-Fi	Horror	Adventure	5
King Cobra (1999) (V)	1999	David Hillenbrand	Sci-Fi	Thriller	Horror	3
They Live (1988)	1988	John Carpenter	Thriller	Sci-Fi	Horror	7
American Graffiti (1973)	1973	George Lucas	Music	Drama	Comedy	8
Yamadonga (2007)	2007	S.S. Rajamouli	Fantasy	Comedy	Action	7
Father of Invention (2010)	2010	Trent Cooper	Drama	Comedy	None	6
Licence to Kill (1989)	1989	John Glen	Thriller	Adventure	Action	7
Against All Flags (1952)	1952	George Sherman	Drama	Adventure	Action	7
Attack of the Giant Leeches (1959)	1959	Bernard L. Kowalski	Sci-Fi	Horror	None	4
Dante's Peak (1997)	1997	Roger Donaldson	Thriller	Adventure	Action	6
Up in Smoke (1978)	1978	Lou Adler	Music	Comedy	None	7
L.A. Noire (2011) (VG)	2011	Brendan McNamara	Drama	Crime	Action	9
Knightriders (1981)	1981	George A. Romero	Drama	Action	None	6
High Strung (2016)	2016	Michael Damian	Romance	Music	Drama	6
Demoted (2011)	2011	J.B. Rogers	Comedy	None	None	5
Daawat-e-Ishq (2014)	2014	Habib Faisal	Romance	Drama	Comedy	6
Grand Masti (2013)	2013	Indra Kumar	Romance	Drama	Comedy	4
6 Bullets (2012)	2012	Ernie Barbarash	Drama	Crime	Action	6
Nikita (1990)	1990	Luc Besson	Drama	Crime	Action	7
As Good as It Gets (1997)	1997	James L. Brooks	Romance	Drama	Comedy	8
Bhaag Milkha Bhaag (2013)	2013	Rakeysh Omprakash Mehra	Drama	Biography	Action	8
Antz (1998)	1998	Eric Darnell	Comedy	Adventure	Animation	7
Pizza (2012/II)	2012	Karthik Subbaraj	Thriller	Romance	Horror	8
The Producers (2005)	2005	Susan Stroman	Musical	Comedy	None	6
Fitzcarraldo (1982)	1982	Werner Herzog	Drama	Biography	Adventure	8
Artemisia (1997)	1997	Agnès Merlet	History	Drama	Biography	7
Forever Strong (2008)	2008	Ryan Little	Sport	Drama	None	7
Intruder (1989)	1989	Scott Spiegel	Thriller	Horror	None	6
The Blue Dahlia (1946)	1946	George Marshall	Mystery	Film-Noir	Crime	7
The Wreck of the Mary Deare (1959)	1959	Michael Anderson	Drama	Crime	Adventure	7
Broken (2012/IV)	2012	Rufus Norris	Romance	Drama	None	7
The Mark of Zorro (1920)	1920	Fred Niblo	Western	Adventure	None	7
The Butterfly Effect 2 (2006)	2006	John R. Leonetti	Thriller	Sci-Fi	None	4
The Godfather (2006) (VG)	2006	Peter Mitchell Rubin	Drama	Crime	Action	8
Little Nemo: Adventures in Slumberland (1989)	1989	Masami Hata	Adventure	Animation	Family	7
The Midnight Meat Train (2008)	2008	Ryûhei Kitamura	Mystery	Horror	Fantasy	6
The New Guy (2002)	2002	Ed Decter	Comedy	None	None	6
Undercover Blues (1993)	1993	Herbert Ross	Crime	Comedy	None	6
Pit and the Pendulum (1961)	1961	Roger Corman	Mystery	Horror	None	7
Saala Khadoos (2016)	2016	Sudha Kongara	Sport	Drama	Action	8
Bloomington (2010)	2010	Fernanda Cardoso	Drama	None	None	6
Kiler (1997)	1997	Juliusz Machulski	Crime	Comedy	Action	8
Best Seller (1987)	1987	John Flynn	Drama	Crime	Action	6
Serving Sara (2002)	2002	Reginald Hudlin	Romance	Comedy	None	5
The Chronicles of Riddick (2004)	2004	David Twohy	Sci-Fi	Adventure	Action	7
Nailbiter (2013)	2013	Patrick Rea	Horror	None	None	4
The Hunting Party (1971)	1971	Don Medford	Action	Western	Drama	6
The Hundred-Foot Journey (2014)	2014	Lasse Hallström	Drama	Comedy	None	7
Thirty Two Short Films About Glenn Gould (1993)	1993	François Girard	Music	Drama	Biography	8
Godzilla (1998/I)	1998	Roland Emmerich	Thriller	Sci-Fi	Action	5
McHale's Navy (1997)	1997	Bryan Spicer	Comedy	Action	None	4
The Human Stain (2003)	2003	Robert Benton	Thriller	Romance	Drama	6
Chicago (2002)	2002	Rob Marshall	Musical	Crime	Comedy	7
Beats, Rhymes & Life: The Travels of a Tribe Called Quest (2011)	2011	Michael Rapaport	Music	Documentary	None	8
Party Girl (1958)	1958	Nicholas Ray	Film-Noir	Drama	None	7
Manhattan Melodrama (1934)	1934	W.S. Van Dyke	Romance	Drama	Crime	7
La ronde (1950)	1950	Max Ophüls	Romance	Drama	None	8
Alien Abduction: Incident in Lake County (1998) (TV)	1998	Dean Alioto	Sci-Fi	Horror	Drama	6
A Zed & Two Noughts (1985)	1985	Peter Greenaway	Drama	Comedy	None	8
Into the Night (1985)	1985	John Landis	Thriller	Drama	Comedy	6
Satte Pe Satta (1982)	1982	Raj N. Sippy	Drama	Comedy	Action	7
The Starfighters (1964)	1964	Will Zens	Drama	None	None	2
Tum Bin...: Love Will Find a Way (2001)	2001	Anubhav Sinha	Romance	Drama	None	8
Allegiant (2016)	2016	Robert Schwentke	Mystery	Adventure	Action	6
Spontaneous Combustion (1990)	1990	Tobe Hooper	Thriller	Sci-Fi	Horror	4
I'm with Lucy (2002)	2002	Jon Sherman	Romance	Comedy	None	6
Girlfight (2000)	2000	Karyn Kusama	Sport	Drama	None	7
The Take (2007)	2007	Brad Furman	Drama	Crime	Action	6
Love Object (2003)	2003	Robert Parigi	Romance	Horror	Drama	6
Garage (2007)	2007	Lenny Abrahamson	Drama	None	None	7
Splinter Cell (2002) (VG)	2002	Richard Dumont	Drama	Crime	Action	8
Defendor (2009)	2009	Peter Stebbings	Drama	Crime	Comedy	7
Shool (1999)	1999	Eeshwar Nivas	Drama	Crime	Action	8
Supercondriaque (2014)	2014	Dany Boon	Comedy	None	None	6
Fame (1980)	1980	Alan Parker	Musical	Music	Drama	7
Good Bye Lenin! (2003)	2003	Wolfgang Becker	Romance	Drama	None	8
Sarah, Plain and Tall (1991) (TV)	1991	Glenn Jordan	Family	Drama	None	7
Harold & Kumar Go to White Castle (2004)	2004	Danny Leiner	Comedy	Adventure	None	7
Naqoyqatsi (2002)	2002	Godfrey Reggio	Music	Documentary	None	7
Like Mike 2: Streetball (2006) (V)	2006	David Nelson	Sport	Family	Comedy	4
The Omega Man (1971)	1971	Boris Sagal	Sci-Fi	Action	None	7
Penn & Teller Get Killed (1989)	1989	Arthur Penn	Comedy	Adventure	None	6
The Cottage (2008)	2008	Paul Andrew Williams	Horror	Crime	Comedy	6
Rookie of the Year (1993)	1993	Daniel Stern	Fantasy	Family	Comedy	6
Ekipazh (1980)	1980	Aleksandr Mitta	Thriller	Drama	Action	8
Something's Gotta Give (2003)	2003	Nancy Meyers	Romance	Drama	Comedy	7
Super Mario 64 (1996) (VG)	1996	Shigeru Miyamoto	Adventure	Action	Animation	9
Dead & Breakfast (2004)	2004	Matthew Leutwyler	Horror	Fantasy	Comedy	6
Titus (1999)	1999	Julie Taymor	Thriller	History	Drama	7
Robot & Frank (2012)	2012	Jake Schreier	Drama	Crime	Comedy	7
My Name Is Joe (1998)	1998	Ken Loach	Romance	Drama	None	8
Arena (2011) (V)	2011	Jonah Loop	Thriller	Action	None	5
Hellraiser: Hellworld (2005) (V)	2005	Rick Bota	Horror	None	None	4
Bachelor Party (1984)	1984	Neal Israel	Comedy	None	None	6
Happy Ending (2014)	2014	Krishna D.K.	Romance	Comedy	None	6
Gold Diggers of 1935 (1935)	1935	Busby Berkeley	Musical	Comedy	None	8
Jack and Jill vs. the World (2008)	2008	Vanessa Parise	Romance	Drama	Comedy	6
Love Me Tender (1956)	1956	Robert D. Webb	Western	Romance	Drama	6
Boruto: Naruto the Movie (2015)	2015	Hiroyuki Yamashita	Adventure	Action	Animation	8
Mr. Nobody (2009)	2009	Jaco Van Dormael	Romance	Fantasy	Drama	8
For Me and My Gal (1942)	1942	Busby Berkeley	War	Romance	Musical	7
Eddie the Eagle (2016)	2016	Dexter Fletcher	Drama	Comedy	Biography	7
Reminiscence (2014)	2014	Akçay Karaazmak	Thriller	Romance	Horror	6
Miss Firecracker (1989)	1989	Thomas Schlamme	Comedy	None	None	6
The Screaming Skull (1958)	1958	Alex Nicol	Thriller	Horror	None	3
Love Affair (1939)	1939	Leo McCarey	Romance	Drama	Comedy	7
A Dog's Breakfast (2007)	2007	David Hewlett	Comedy	None	None	7
Hush...Hush, Sweet Charlotte (1964)	1964	Robert Aldrich	Horror	Drama	Crime	8
Mistaken for Strangers (2013)	2013	Tom Berninger	Music	Comedy	Documentary	7
Mum & Dad (2008)	2008	Steven Sheil	Thriller	Horror	None	6
Haywire (2011)	2011	Steven Soderbergh	Thriller	Action	None	6
Lady in White (1988)	1988	Frank LaLoggia	Mystery	Horror	Fantasy	7
North to Alaska (1960)	1960	Henry Hathaway	Western	Romance	Comedy	7
Digging for Fire (2015)	2015	Joe Swanberg	Drama	None	None	6
Touching the Void (2003)	2003	Kevin Macdonald	Drama	Adventure	Documentary	8
Party Monster (2003)	2003	Fenton Bailey	Drama	Crime	Biography	6
The Lucky Ones (2008)	2008	Neil Burger	War	Drama	Comedy	7
Deep Blue Sea (1999)	1999	Renny Harlin	Thriller	Sci-Fi	Action	6
The Homesman (2014)	2014	Tommy Lee Jones	Western	Drama	None	7
A Chorus Line (1985)	1985	Richard Attenborough	Musical	Music	Drama	6
Fatal Beauty (1987)	1987	Tom Holland	Crime	Comedy	Action	5
The Kentucky Fried Movie (1977)	1977	John Landis	Comedy	None	None	6
Walking on Sunshine (2014)	2014	Max Giwa	Romance	Musical	None	5
Hole in One (2009)	2009	Drew Ann Rosenberg	Sport	Comedy	None	3
Paranormal Entity (2009) (V)	2009	Shane Van Dyke	Thriller	Mystery	Horror	4
The Black Stallion (1979)	1979	Carroll Ballard	Sport	Family	Adventure	7
The Butterfly Circus (2009)	2009	Joshua Weigel	Drama	Short	None	8
Smashed (2012)	2012	James Ponsoldt	Drama	None	None	7
Carnival of Souls (1962)	1962	Herk Harvey	Mystery	Horror	Fantasy	7
Crouching Tiger, Hidden Dragon: Sword of Destiny (2016)	2016	Woo-Ping Yuen	Drama	Adventure	Action	6
Never Give a Sucker an Even Break (1941)	1941	Edward F. Cline	Musical	Comedy	None	8
The Cat and the Canary (1927)	1927	Paul Leni	Mystery	Horror	None	7
Amarcord (1973)	1973	Federico Fellini	Drama	Comedy	None	8
The Reaping (2007)	2007	Stephen Hopkins	Thriller	Horror	None	6
Doc Hollywood (1991)	1991	Michael Caton-Jones	Romance	Drama	Comedy	6
The Man from Snowy River (1982)	1982	George Miller	Family	Drama	Adventure	7
Avalon (2001)	2001	Mamoru Oshii	Fantasy	Drama	Action	7
Paulette (2012)	2012	Jérôme Enrico	Crime	Comedy	None	7
The Fourth Kind (2009)	2009	Olatunde Osunsanmi	Thriller	Sci-Fi	Mystery	6
White Palace (1990)	1990	Luis Mandoki	Romance	Drama	None	6
Like Minds (2006)	2006	Gregory Read	Mystery	Horror	Crime	6
Dawn Rider (2012)	2012	Terry Miles	Western	None	None	5
Zindagi Na Milegi Dobara (2011)	2011	Zoya Akhtar	Drama	Comedy	Adventure	8
Dawn of the Dragonslayer (2011)	2011	Anne K. Black	Fantasy	Adventure	Action	4
Final Analysis (1992)	1992	Phil Joanou	Thriller	Drama	None	6
Career Girls (1997)	1997	Mike Leigh	Drama	None	None	7
Ice Age: The Meltdown (2006)	2006	Carlos Saldanha	Adventure	Action	Animation	7
Vaterfreuden (2014)	2014	Matthias Schweighöfer	Romance	Comedy	None	6
Nurse Betty (2000)	2000	Neil LaBute	Drama	Crime	Comedy	6
Munnariyippu (2014)	2014	Venu Goopaalan	Thriller	Drama	None	8
Out of Africa (1985)	1985	Sydney Pollack	Romance	Drama	Biography	7
Mr. and Mrs. Iyer (2002)	2002	Aparna Sen	Drama	None	None	8
The Painted Veil (2006)	2006	John Curran	Romance	Drama	None	8
Stalker (1979)	1979	Andrei Tarkovsky	Sci-Fi	Mystery	Drama	8
Pleasure or Pain (2013)	2013	Zalman King	Thriller	Drama	None	4
The Invisible Circus (2001)	2001	Adam Brooks	Drama	None	None	6
T2 3-D: Battle Across Time (1996)	1996	John Bruno	Sci-Fi	Short	Action	8
The Living (2014)	2014	Jack Bryan	Mystery	Drama	Crime	6
Debug (2014)	2014	David Hewlett	Sci-Fi	Horror	None	4
Dead Heat (1988)	1988	Mark Goldblatt	Horror	Comedy	Action	6
Mortal Kombat: Rebirth (2010) (V)	2010	Kevin Tancharoen	Fantasy	Crime	Action	8
A Haunted House (2013)	2013	Michael Tiddes	Fantasy	Comedy	None	5
Santa Claus (1985)	1985	Jeannot Szwarc	Fantasy	Family	Adventure	6
Blackadder Back & Forth (1999)	1999	Paul Weiland	History	Comedy	Short	8
20,000 Leagues Under the Sea (1954)	1954	Richard Fleischer	Family	Drama	Adventure	7
Hot Fuzz (2007)	2007	Edgar Wright	Mystery	Comedy	Action	8
Larry the Cable Guy: Health Inspector (2006)	2006	Trent Cooper	Romance	Comedy	None	3
Shadow Dancer (2012)	2012	James Marsh	Thriller	Drama	None	6
Sunday Bloody Sunday (1971)	1971	John Schlesinger	Drama	None	None	7
Peaceful Warrior (2006)	2006	Victor Salva	Sport	Romance	Drama	7
Larry Crowne (2011)	2011	Tom Hanks	Romance	Drama	Comedy	6
Bad Santa (2003)	2003	Terry Zwigoff	Drama	Crime	Comedy	7
Silent Night, Deadly Night (1984)	1984	Charles E. Sellier Jr.	Thriller	Horror	None	6
Hellboy II: The Golden Army (2008)	2008	Guillermo del Toro	Fantasy	Adventure	Action	7
Green Card (1990)	1990	Peter Weir	Romance	Drama	Comedy	6
App (2013)	2013	Bobby Boermans	Thriller	None	None	5
Major League: Back to the Minors (1998)	1998	John Warren	Sport	Comedy	None	4
Dead Man (1995)	1995	Jim Jarmusch	Western	Fantasy	Drama	8
The Undefeated (1969)	1969	Andrew V. McLaglen	Western	None	None	7
Mary, Queen of Scots (1971)	1971	Charles Jarrott	History	Drama	Biography	8
Frankenstein (2004) (TV)	2004	Marcus Nispel	Mystery	Horror	Crime	5
Rob Roy (1995)	1995	Michael Caton-Jones	Biography	Adventure	None	7
Woody Allen: A Documentary (2012)	2012	Robert B. Weide	Biography	Documentary	None	8
Red Eye (2005)	2005	Wes Craven	Thriller	Mystery	None	6
Brian's Song (1971) (TV)	1971	Buzz Kulik	Sport	Drama	Biography	8
The Wackness (2008)	2008	Jonathan Levine	Romance	Drama	Comedy	7
The Dying Gaul (2005/I)	2005	Craig Lucas	Romance	Drama	None	7
Spider-Man 3 (2007)	2007	Sam Raimi	Romance	Adventure	Action	6
Whore (1991)	1991	Ken Russell	Drama	None	None	6
The Country Girl (1954)	1954	George Seaton	Music	Drama	None	7
Maniac (1934)	1934	Dwain Esper	Horror	None	None	3
Clockers (1995)	1995	Spike Lee	Mystery	Drama	Crime	7
Catfish (2010)	2010	Henry Joost	Documentary	None	None	7
Punishment Park (1971)	1971	Peter Watkins	Thriller	Drama	None	8
Dracula (1979)	1979	John Badham	Romance	Horror	None	6
Under the Rainbow (1981)	1981	Steve Rash	Comedy	None	None	5
The Killer Elite (1975)	1975	Sam Peckinpah	Thriller	Crime	Action	6
Playing by Heart (1998)	1998	Willard Carroll	Romance	Drama	Comedy	7
How to Fall in Love (2012) (TV)	2012	Mark Griffiths	Romance	Comedy	None	6
The Front Page (1974)	1974	Billy Wilder	Romance	Drama	Comedy	7
Shock Treatment (1981)	1981	Jim Sharman	Musical	Comedy	None	6
Quid Pro Quo (2008/I)	2008	Carlos Brooks	Romance	Mystery	Drama	6
Bye Bye Birdie (1963)	1963	George Sidney	Musical	Comedy	None	7
Les gamins (2013)	2013	Anthony Marciano	Comedy	None	None	6
Bandits (2001)	2001	Barry Levinson	Drama	Crime	Comedy	7
The Hills Have Eyes (2006)	2006	Alexandre Aja	Horror	None	None	6
The Rainmaker (1956)	1956	Joseph Anthony	Western	Romance	None	7
The Secret of Monkey Island (1990) (VG)	1990	Craig Derrick	Comedy	Adventure	Animation	9
Animal House (1978)	1978	John Landis	Comedy	None	None	8
The Truth About Jane (2000) (TV)	2000	Lee Rose	Drama	None	None	7
Me and Orson Welles (2008)	2008	Richard Linklater	Drama	None	None	7
Ocean's Thirteen (2007)	2007	Steven Soderbergh	Thriller	Crime	None	7
Halloween: Resurrection (2002)	2002	Rick Rosenthal	Thriller	Horror	Comedy	4
War of the Worlds (2005)	2005	Steven Spielberg	Thriller	Sci-Fi	Adventure	6
Desperado (1995)	1995	Robert Rodriguez	Thriller	Crime	Action	7
Coquette (1929)	1929	Sam Taylor	Romance	Drama	None	7
Great Expectations (2012)	2012	Mike Newell	Romance	Drama	None	6
Made in Britain (1982) (TV)	1982	Alan Clarke	Drama	Crime	None	8
The River King (2005)	2005	Nick Willing	Thriller	Mystery	Drama	6
Without a Clue (1988)	1988	Thom Eberhardt	Mystery	Crime	Comedy	7
The Paper (1994)	1994	Ron Howard	Drama	Comedy	None	7
Himmatwala (2013)	2013	Sajid Khan	Comedy	Action	None	2
Zift (2008)	2008	Javor Gardev	Mystery	Drama	Crime	7
Barney's Version (2010)	2010	Richard J. Lewis	Drama	Comedy	None	7
The Man Who Came to Dinner (1942)	1942	William Keighley	Romance	Comedy	None	8
Guncrazy (1992)	1992	Tamra Davis	Romance	Drama	Crime	6
Adventures in Babysitting (1987)	1987	Chris Columbus	Comedy	Adventure	Action	7
Support Your Local Gunfighter (1971)	1971	Burt Kennedy	Western	Romance	Comedy	7
The Big Sky (1952)	1952	Howard Hawks	Western	Drama	None	7
The Unborn (2009)	2009	David S. Goyer	Horror	Fantasy	Drama	5
The Sun Also Rises (1957)	1957	Henry King	Drama	None	None	6
Bushwhacked (1995)	1995	Greg Beeman	Crime	Comedy	Adventure	6
The Thing About My Folks (2005)	2005	Raymond De Felitta	Drama	Comedy	None	7
Dark Touch (2013)	2013	Marina de Van	Horror	None	None	5
Feel the Noise (2007)	2007	Alejandro Chomski	Music	Drama	None	3
The Emperor's Club (2002)	2002	Michael Hoffman	Drama	None	None	7
Live! (2007)	2007	Bill Guttentag	Drama	None	None	6
Riding in Cars with Boys (2001)	2001	Penny Marshall	Drama	Comedy	Biography	6
The Poseidon Adventure (2005) (TV)	2005	John Putch	Drama	Action	Adventure	4
Peter Pan (2003)	2003	P.J. Hogan	Fantasy	Family	Adventure	7
The Hanging Garden (1997)	1997	Thom Fitzgerald	Romance	Drama	None	7
Elena (2011)	2011	Andrey Zvyagintsev	Drama	None	None	7
Hell and Back (2015)	2015	Tom Gianas	Comedy	Adventure	Animation	5
Elling (2001)	2001	Petter Næss	Drama	Comedy	None	8
Garden Party (2008)	2008	Jason Freeland	Drama	None	None	6
Are You Scared? (2006) (V)	2006	Andy Hurst	Horror	None	None	3
